Country,Income,Life Expectency,Expenses on Health,Deaths Non-Communicable Diseases
Central African Republic,610 ,50,7.00,0.27
"Congo, Dem. Rep. of",700 ,50,1.00,0.21
Malawi,780 ,61,151.00,0.67
Burundi,790 ,59,9.00,0.26
Somalia,820 ,55,195.00,0.29
Liberia,820 ,60,276.00,0.78
Liechtenstein,900 ,82,499.00,0.86
Mayotte,920 ,79,253.00,0.78
Niger,950 ,60,25.00,0.27
Guinea,"1,140 ",60,5.00,0.28
Mozambique,"1,170 ",54,1.00,0.40
Eritrea,"1,180 ",63,758.00,0.90
Togo,"1,310 ",57,513.00,0.74
Madagascar,"1,400 ",65,11.00,0.28
Guinea-Bissau,"1,430 ",54,119.00,0.66
Djibouti,"1,456 ",62,231.00,0.85
Ethiopia,"1,500 ",64,305.00,0.67
Comoros,"1,530 ",61,17.00,0.40
Martinique,"1,530 ",82,14.00,0.32
Rwanda,"1,530 ",65,179.00,0.70
Gambia,"1,580 ",59,73.00,0.91
Burkina Faso,"1,660 ",56,23.00,0.21
Mali,"1,660 ",53,1090.00,0.90
Uganda,"1,690 ",59,1053.00,0.86
Zimbabwe,"1,710 ",61,369.00,0.58
Haiti,"1,750 ",64,67.00,0.69
Sierra Leone,"1,830 ",50,618.00,0.79
Curacao,"1,850 ",78,720.00,0.90
Benin,"1,850 ",59,18.00,0.33
Afghanistan,"1,980 ",61,11.00,0.29
Guam,"2,000 ",79,69.00,0.47
Solomon Islands,"2,020 ",70,-,0.27
South Sudan,"2,030 ",55,38.00,0.91
Chad,"2,130 ",51,23.00,0.21
Senegal,"2,290 ",65,265.00,0.95
Syria,"2,300 ",70,13.00,0.62
Nepal,"2,420 ",67,3989.00,0.89
Papua New Guinea,"2,510 ",62,68.00,0.69
Tanzania,"2,530 ",62,52.00,0.71
Kiribati,"2,580 ",65,1000.00,0.65
Tajikistan,"2,630 ",67,127.00,0.27
Vanuatu,"2,870 ",71,31.00,0.66
Kenya,"2,890 ",62,134.00,0.69
Cameroon,"2,940 ",57,17.00,0.31
Sao Tome and Principe,"3,030 ",66,478.00,0.71
Cambodia,"3,080 ",64,9.00,0.46
Kyrgyzstan,"3,220 ",70,7.00,0.48
Lesotho,"3,260 ",44,12.00,0.28
Monaco,"3,300 ",59,64.00,0.72
Bangladesh,"3,340 ",71,6.00,0.52
Cote d'Ivoire,"3,350 ",51,12.00,0.33
Federated States of Micronesia,"3,680 ",70,94.00,0.77
Mauritania,"3,700 ",63,136.00,0.87
Yemen,"3,820 ",65,25.00,0.27
Zambia,"3,860 ",53,253.00,0.21
Ghana,"3,960 ",61,1905.00,0.91
Sudan,"3,980 ",62,99.00,0.71
Honduras,"4,120 ",74,1000.00,0.68
Marshall Islands,"4,630 ",72,350.00,0.93
Nicaragua,"4,670 ",75,12.00,0.16
Laos,"4,910 ",68,454.00,0.90
Palestinian Territory,"5,080 ",73,423.00,0.69
Pakistan,"5,100 ",66,662.00,0.74
Congo,"5,120 ",58,38.00,0.33
Tuvalu,"5,260 ",70,98.00,0.25
Tonga,"5,300 ",76,130.00,0.78
Western Sahara,"5,300 ",68,36.00,0.45
Vietnam,"5,350 ",73,18.00,0.63
Moldova,"5,480 ",72,6279.00,0.86
Samoa,"5,600 ",74,3498.00,0.95
Nigeria,"5,680 ",52,6018.00,0.87
Timor-Leste,"5,680 ",68,127.00,0.34
India,"5,760 ",68,29.00,0.64
Uzbekistan,"5,840 ",68,275.00,0.70
Swaziland,"5,940 ",49,4254.00,0.90
Bolivia,"6,130 ",67,58.00,0.57
Cape Verde,"6,320 ",75,108.00,0.58
Reunion,"6,500 ",80,322.00,0.91
Guyana,"6,930 ",66,9.00,0.41
Angola,"7,150 ",52,181.00,0.25
Morocco,"7,180 ",74,20.00,0.28
Guatemala,"7,260 ",73,3.00,0.32
San Marino,"7,500 ",87,37.00,0.49
Georgia,"7,510 ",75,3502.00,0.92
Bhutan,"7,560 ",68,80.00,0.53
El Salvador,"7,720 ",73,616.00,0.32
Belize,"7,870 ",74,159.00,0.62
Paraguay,"8,010 ",72,118.00,0.60
Fiji,"8,030 ",70,3105.00,0.89
Philippines,"8,300 ",69,548.00,0.89
Taiwan,"8,300 ",80,19.00,0.59
Jamaica,"8,490 ",74,2657.00,0.80
Armenia,"8,550 ",75,56.00,0.90
